id;date;details;status;payment_method;payment_date;payment_amount
1;2023-01-25T07:56:58;RAM systemic;PAID;CASH_ON_DELIVERY;2023-01-25T12:22:53;5801
2;2023-01-25T02:11:09;Bourgogne calculating model;ISSUED;CREDIT_CARD;2023-01-25T04:26:06;75071
3;2023-01-25T00:57:07;program SQL;CANCELLED;CREDIT_CARD;2023-01-24T23:36:31;79944
4;2023-01-25T11:51:14;Soft b;PAID;CASH_ON_DELIVERY;2023-01-25T09:06:55;8068
5;2023-01-25T15:58:06;Bhutanese;CANCELLED;PAYPAL;2023-01-25T17:47:39;87472
6;2023-01-25T04:34:34;Specialiste Shirt Boétie;CANCELLED;PAYPAL;2023-01-25T20:19:01;62834
7;2023-01-25T16:06:56;program transmitting parse;PAID;CREDIT_CARD;2023-01-25T07:07:14;38509
8;2023-01-25T06:48:32;a iterate;PAID;CREDIT_CARD;2023-01-25T03:05:20;6085
9;2023-01-24T23:42:15;black Corse;PAID;CREDIT_CARD;2023-01-25T02:24:20;11254
10;2023-01-25T12:57:36;a Zadkine;CANCELLED;PAYPAL;2023-01-25T02:14:44;85804
