id;placed_date;status;invoice_id;code
1;2023-01-25T15:19:28;COMPLETED;11446;lavender
2;2023-01-25T18:57:28;CANCELLED;64871;e-enable one-to-one
3;2023-01-25T01:59:48;COMPLETED;91159;background out-of-the-box withdrawal
4;2023-01-25T00:13:21;COMPLETED;47588;Concrete
5;2023-01-25T05:15:47;CANCELLED;63689;Car hybrid Generic
6;2023-01-25T04:29:55;CANCELLED;37922;harness Hongrie Ukraine
7;2023-01-25T13:37:20;COMPLETED;15762;Visionary
8;2023-01-25T02:24:05;CANCELLED;1365;Credit Soft Cotton
9;2023-01-25T17:58:38;CANCELLED;52097;Implemented
10;2023-01-25T16:14:17;COMPLETED;61775;solution protocol
